company,price,change
Microsoft Corporation (MSFT),409.81,(+1.49%)
International Business Machines Corporation (IBM),186.01,(-0.48%)
General Electric Company (GE),136.67,(+0.93%)
Union Pacific Corporation (UNP),248.92,(-0.14%)
Costco Wholesale Corporation (COST),707.85,(+0.48%)
McDonald's Corporation (MCD),294.96,(-1.05%)
Visa Inc. (V),276.88,(-0.06%)
Walmart Inc. (WMT),168.85,(+0.32%)
The Walt Disney Company (DIS),96.46,(-0.62%)
3M Company (MMM),94.71,(-1.26%)
Intel Corporation (INTC),42.53,(-1.91%)
American Express Company (AXP),205.28,(+1.01%)
Apple Inc. (AAPL),186.26,(-0.32%)
The Boeing Company (BA),207.40,(-1.15%)
"Cisco Systems, Inc. (CSCO)",50.15,(-0.05%)
"The Goldman Sachs Group, Inc. (GS)",385.20,(+0.35%)
JPMorgan Chase & Co. (JPM),174.37,(+0.37%)
"Salesforce, Inc. (CRM)",286.72,(+1.03%)
Verizon Communications Inc. (VZ),42.22,(-0.62%)
